instrument,year,beta_mkt,beta_smb,beta_hml,n_obs
BANF.OQ,2021,0.00973887777506562,-2.9919618456571433e-05,0.013116953547401751,12
BANF.OQ,2022,0.006115472730924651,0.012837452516179721,0.009583960933949656,12
BANF.OQ,2023,0.004023130927539722,0.01607700054983949,-0.004619938500368889,12
BANR.OQ,2016,0.011846214755374864,6.243633283281418e-05,0.013975768165466557,12
BANR.OQ,2017,0.03076997344166108,0.023321398933715383,-0.010876109311733193,12
BANR.OQ,2018,0.010301974015678651,0.012365751599266572,0.010168174422236435,12
BANR.OQ,2019,0.0007019520050851403,0.025965312906108207,0.007478920384661443,12
BANR.OQ,2020,0.009228464894957145,0.018733015259324626,0.012116707337556019,12
BANR.OQ,2021,0.013406168363830314,-0.0022590287283138074,0.008894015226376886,12
BANR.OQ,2022,0.00646159122242846,0.03242832596819921,0.019688362586201855,12
BANR.OQ,2023,0.004826295564594595,0.013444102951745604,0.00712529364996773,12
BCBP.OQ,2016,0.00420284618808611,-0.005384746545545325,0.004739691896137101,12
BCBP.OQ,2017,0.03754937630550097,0.01977078093409149,-0.03463082389739095,12
BCBP.OQ,2018,0.008678352095429094,0.009949774991319328,0.0027718989292953612,12
BCBP.OQ,2019,0.010419252815905316,0.018227681514527763,-0.004166920443818799,12
BCBP.OQ,2020,0.0014620453311911872,0.01942930006187657,0.006440990229788741,12
BCBP.OQ,2021,0.005258072720003814,-0.0013290890119711776,0.009045276610207294,12
BCBP.OQ,2022,0.005692583477802394,0.02492673546027624,0.021617453725279567,12
BCBP.OQ,2023,0.00816705325186553,0.014549025028962808,0.008852356402072617,12
BFIN.OQ,2016,-0.0007859385316907976,0.010764519074476704,0.008687018563272662,12
BFIN.OQ,2017,0.02116068654591177,0.004960541320133115,-0.012560779407652415,12
BFIN.OQ,2018,0.0037176768164649595,0.011653812439775669,-0.0025399378611932442,12
BFIN.OQ,2019,0.0046069292134679595,0.015771462215780154,0.0020932181812368,12
BFIN.OQ,2020,0.005703683657931554,0.024239717480779546,0.0012452046454237667,12
BFIN.OQ,2021,0.008428106820223356,0.0011452806340005338,0.006221909312449892,12
BFIN.OQ,2022,-0.0018958226991946804,0.015323610481707937,0.008678573561227499,12
BFIN.OQ,2023,0.0036493992210407424,0.010657919568710683,0.00789496491179282,12
BHB.A,2016,-0.0022125553405227074,0.015992368077157888,0.014082905050415193,12
BHB.A,2017,0.011467927328428495,0.05028936704736792,-0.020622504562194364,12
BHB.A,2018,0.011271229124847524,0.013308128352838336,0.005466988854940173,12
BHB.A,2019,0.011326486226162138,0.009446273527123952,0.008011556536287025,12
BHB.A,2020,0.007396070334642842,0.02481385349948978,-0.0017610762329501773,12
BHB.A,2021,0.01095477906302704,0.0020174473209618833,0.014368748870549862,12
BHB.A,2022,0.005157781402248183,0.01059406534751554,0.009996684190514572,12
BHB.A,2023,0.0030850756220137925,0.010608373563325285,0.003646387178537651,12
BHLB.N,2016,0.007970813423724809,-0.002124042607414312,0.01612000827756956,12
BHLB.N,2017,0.03625632897531875,0.03139044260221264,-0.01615355295395987,12
BHLB.N,2018,0.01734068367799656,0.01572132342627968,0.0049415362600666885,12
BHLB.N,2019,0.002055863200882037,0.025370137642670435,0.005779516281531132,12
BHLB.N,2020,0.0003129885079449185,0.005342455643896445,0.0466356074869591,12
BHLB.N,2021,0.003699793654322023,-0.001366459803030095,0.016426931955914707,12
BHLB.N,2022,0.005508543536477953,0.01642655409356928,0.01043471671156035,12
BHLB.N,2023,0.0041376373982011435,0.019590108109811644,0.0016610570381927169,12
BKU.N,2016,0.009663812675243591,0.007848753276670388,0.02050370393321172,12
BKU.N,2017,0.022382790615770004,0.002345574676393688,0.005770135110637713,12
BKU.N,2018,0.009748299727276621,0.014738010952125158,0.010307952279129812,12
BKU.N,2019,0.00998103718103624,0.016170676471439424,0.008102913663625672,12
BKU.N,2020,0.008669922454021681,0.014251319743052125,0.02169578947127098,12
BKU.N,2021,0.0107291312996507,0.001056131137713659,0.013385892034907854,12
BKU.N,2022,0.007409264143165513,0.01681358002915391,0.013081193701583449,12
BKU.N,2023,0.020723973477848573,0.0143125995437536,0.023888217778943246,12
BMRC.OQ,2016,0.001356132034255394,0.011104959785968819,0.018454323742236226,12
BMRC.OQ,2017,0.020973783922214644,0.005759114697188129,0.0009371298855935899,12
BMRC.OQ,2018,0.007081266860711416,0.011676529748336871,0.014836901414388435,12
BMRC.OQ,2019,0.0020538903317955503,0.01386855552805902,0.004705018722207134,12
BMRC.OQ,2020,0.01106719572691453,0.00969179961736414,0.0072292279757815705,12
BMRC.OQ,2021,0.0009380543170688579,0.0031176495357654955,0.0040779680587093164,12
BMRC.OQ,2022,0.005757879512323498,0.015837789167181933,0.012984435200440493,12
BMRC.OQ,2023,0.007841884959622994,0.01599894645825345,0.012122917312792737,12
BOH.N,2016,0.009118009754405158,-0.0012517249439754222,0.007206429084328244,12
BOH.N,2017,0.014786905324483908,0.015717883511886223,-0.0012054599224717074,12
BOH.N,2018,0.008873453059599723,0.013176708340982963,0.015361574986928528,12
BOH.N,2019,0.010459405366464964,0.013840277953363199,0.0024516799601029234,12
BOH.N,2020,0.010246777053164104,0.012951023286343833,0.01796450810242723,12
BOH.N,2021,0.010729969309551475,0.003785342489219002,0.007296721872745842,12
BOH.N,2022,0.0032938235244226767,0.00523738843813611,0.006809842179493016,12
BOH.N,2023,0.010366780169448227,0.014372241107820895,0.026379310830210754,12
BOKF.OQ,2016,0.020456790954882825,-0.0021331892288000524,0.007931331391170757,12
