instrument,date,ritrf,rit,new_wacc,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score,esg_combined_score_1,total_assets,debt__total,price_to_book_value_per_share,capital_adequacy__total_,weighted_average_cost_of_capital_,beta_levered,wacc_tax_rate_,wacc_cost_of_debt_,wacc_debt_weight_,wacc_equity_weight_,lnta,td_ta,d_e,beta_unlevered
CPF.N,2017-12-31,0.212707526,0.220707526,0.203254588,22.15799615,43.21739915,24.5790437,30.28428571,21.15270351,39.67423403,20.9798066,27.23115045,30.28428571,27.23115045,5623.708,124.785,1.791205678,15.9,7.859622573,1.174109494,31.375235,2.769202103,8.652750093,91.34724991,8.634746512,0.022189097,0.094723707,1.10244617
CPF.N,2018-12-31,-0.277466796,-0.259366796,-0.202194437,21.58687943,38.95145979,34.29935598,31.66769221,22.15799615,43.21739915,24.5790437,30.28428571,31.66769221,30.28428571,5807.026,319.166,1.434468169,14.7,7.503556486,0.942405831,28.26105,3.150168078,20.2763474,79.7236526,8.666823843,0.054962041,0.254332895,0.796990359
CPF.N,2019-12-31,0.091717676,0.113117676,0.102027224,20.28455285,35.19317253,31.57911493,28.82429495,21.58687943,38.95145979,34.29935598,31.66769221,28.82429495,31.66769221,6012.672,251.547,1.583282037,13.6,7.239688762,1.040412337,35.82586,2.152046414,11.16783377,88.83216623,8.701624521,0.041836142,0.125718355,0.96273977
CPF.N,2020-12-31,-0.194930474,-0.190530474,-0.147667073,33.04569227,66.62780711,37.57371991,48.59678864,20.28455285,35.19317253,31.57911493,28.82429495,48.59678864,28.82429495,6594.583,127.385,0.980025597,15.2,7.287571,1.297314225,35.75228,2.139447149,20.98308898,79.01691102,8.794003833,0.019316612,0.265551876,1.108236806
CPF.N,2021-12-31,0.290202314,0.290602314,0.255398626,32.34761076,77.60964619,30.27081913,51.5397057,33.04569227,66.62780711,37.57371991,48.59678864,51.5397057,48.59678864,7419.089,105.616,1.398564685,14.0,1.590904239,1.267168307,25.94448,2.106138989,12.80109949,87.19890051,8.911811552,0.01423571,0.146803451,1.142915083
CPF.N,2022-12-31,0.01924353,0.03344353,0.033415511,28.76230062,60.85902251,36.84242677,45.30241042,32.34761076,77.60964619,30.27081913,51.5397057,45.30241042,51.5397057,7432.763,110.859,1.21020869,13.5,8.206191289,1.094576629,25.15816,4.444856878,15.79400797,84.20599203,8.913652939,0.014914911,0.187563944,0.959838101
CPF.N,2023-12-31,0.038832984,0.088332984,0.075111052,25.72914216,58.13634869,34.48064524,42.93234623,28.76230062,60.85902251,36.84242677,45.30241042,42.93234623,45.30241042,7642.796,156.102,1.056431923,14.6,7.255172273,1.191682756,25.1506,4.92883299,25.70311883,74.29688117,8.941518784,0.020424724,0.345951518,0.94657431
HFWA.OQ,2017-12-31,0.09088455,0.09888455,0.094534534,22.15799615,40.48429513,76.14161519,47.49119185,21.15270351,43.11203841,50.85466439,39.69125023,47.49119185,39.69125023,4113.27,144.33,1.801677972,12.8,4.617586168,0.464039121,26.932,2.122847963,5.217514698,94.7824853,8.321973612,0.035088871,0.055047245,0.446096272
HFWA.OQ,2018-12-31,-0.244700246,-0.226600246,-0.217003675,21.58687943,40.90753392,79.37264046,48.86428739,22.15799615,40.48429513,76.14161519,47.49119185,48.86428739,47.49119185,5316.927,51.789,1.435607484,12.9,7.085931488,0.727789036,26.24902,2.719069159,3.890706849,96.10929315,8.578650784,0.009740401,0.040482109,0.706690129
HFWA.OQ,2019-12-31,-0.068321999,-0.046921999,-0.044156694,20.28455285,36.41905757,59.92889738,39.63825561,21.58687943,40.90753392,79.37264046,48.86428739,39.63825561,48.86428739,5552.97,40.764,1.280484302,12.8,5.92804765,0.732238638,26.18122,1.987718895,4.489489069,95.51051093,8.622088199,0.007340936,0.047005183,0.707682991
HFWA.OQ,2020-12-31,-0.295775552,-0.291375552,-0.270013748,24.95880839,52.98846431,66.24383369,50.98840429,20.28455285,36.41905757,59.92889738,39.63825561,50.98840429,39.63825561,6615.318,56.57,1.023826712,14.0,5.262108072,0.772292381,26.18122,1.752684948,7.0196665,92.9803335,8.797143148,0.008551365,0.07549625,0.731524235
HFWA.OQ,2021-12-31,0.162349132,0.162749132,0.152745719,23.43731268,52.18665281,58.25800418,47.72220468,24.95880839,52.98846431,66.24383369,50.98840429,47.72220468,50.98840429,7432.412,72.019,1.004158597,14.8,1.511383355,0.711256654,17.47881,1.45676373,6.63674278,93.36325722,8.913605715,0.009689856,0.071085168,0.671845951
