instrument,date,ritrf,rit,new_wacc,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score,esg_combined_score_1,total_assets,debt__total,price_to_book_value_per_share,capital_adequacy__total_,weighted_average_cost_of_capital_,beta_levered,wacc_tax_rate_,wacc_cost_of_debt_,wacc_debt_weight_,wacc_equity_weight_,lnta,td_ta,d_e,beta_unlevered,WACC_CAPM,yyyymm,mkt_rf,smb,hml,rf,WACC_FF,ticker_prefix,Year,Month,market_cap,equity_vol,asset_value,asset_vol,merton_status,distance_to_default,probability_of_default
ACNB.OQ,2022-12-31,0.1259217,0.1401217,0.125818583,17.26625006,20.99279741,42.17970205,25.79475059,17.43215031,23.75423574,45.29309847,28.08761638,25.79475059,28.08761638,2525.507,62.954,1.38338296,17.32,5.499492672,0.387979876,19.22291,4.684263449,13.98378516,86.01621484,7.834197114,0.024927272,0.162571501,0.342944255,0.0544568577020451,202212,-6.37,-0.76,1.35,0.33,-1.8366873854522037,ACNB,2022,12,384024494.72,0.3550657819431045,384024555.81342906,0.3550657254566763,converged,43.909551957523085,0.0
ACNB.OQ,2023-12-31,0.024148109,0.073648109,0.067974293,15.2370401,19.45467306,33.20644915,21.77666183,17.26625006,20.99279741,42.17970205,25.79475059,21.77666183,25.79475059,2418.847,252.174,1.373067337,17.41,5.748060666,0.584907718,19.22291,4.853334129,16.47244182,83.52755818,7.791046259,0.104253804,0.197209666,0.504535153,0.0657152334338095,202312,4.85,6.29,4.89,0.43,2.7351381288332237,ACNB,2023,12,446438320.39,0.3145640746223453,446438565.11113286,0.3145639021899586,converged,45.67344729303491,0.0
ATLO.OQ,2018-12-31,-0.164341096,-0.146241096,-0.119828806,21.58687943,28.33782733,17.88252276,20.49327055,22.15799615,28.29339618,22.36902311,22.08637282,20.49327055,22.08637282,1455.687351,55.274486,1.36659084,16.1,5.941922712,0.626006246,27.88763,2.403082714,16.14736382,83.85263618,7.283233474,0.0379714,0.19256835,0.54967526,0.0646985914551672,201812,-9.55,-2.33,-1.94,0.19,-4.850893948710858,ATLO,2018,12,165436982.04000002,0.1866981189480171,165437035.68087888,0.1866980584135291,converged,79.9384945291131,0.0
ATLO.OQ,2019-12-31,0.003786911,0.025186911,0.02296054,20.28455285,20.75660816,20.42767696,17.64924135,21.58687943,28.33782733,17.88252276,20.49327055,17.64924135,20.49327055,1737.182505,47.03357,1.379630074,14.3,4.631537351,0.577518997,27.88763,1.62326315,16.51466482,83.48533518,7.46001983,0.027074628,0.197815159,0.505421084,0.060728820427686,201912,2.77,0.76,1.73,0.14,1.4543505991344714,ATLO,2019,12,189113249.4,0.1659753816890979,189113295.0435186,0.1659753416300597,converged,91.71977704344408,0.0
ATLO.OQ,2021-12-31,0.123558133,0.123958133,0.106921561,17.43215031,18.39276359,24.56155549,17.96497072,20.28455285,20.75660816,20.42767696,17.64924135,17.96497072,17.64924135,2137.041,42.851,1.071659029,14.8,1.438478915,0.716913121,20.57005,0.992080076,14.67682555,85.32317445,7.667177441,0.020051557,0.172014528,0.630735118,0.0695720112714031,202112,3.23,-1.62,3.24,0.01,1.9854573603004344,ATLO,2021,12,180502562.92,0.1603077768478944,180502604.50456217,0.1603077399158765,converged,95.25851655885066,0.0
ATLO.OQ,2022-12-31,0.029366336,0.043566336,0.042374511,15.8938172,17.13352444,23.06238361,16.80068622,17.43215031,18.39276359,24.56155549,17.96497072,16.80068622,17.96497072,2134.926,79.796,1.423929649,14.1,5.996126898,0.528090272,20.57005,4.606142801,17.07542353,82.92457647,7.666187265,0.037376471,0.205915113,0.453858036,0.0617788480938908,202212,-6.37,-0.76,1.35,0.33,-2.509630464539254,ATLO,2022,12,182258044.56,0.1002546816650972,182258121.99767235,0.1002546390689858,converged,146.29184000851447,0.0
ATLO.OQ,2023-12-31,-0.02703992,0.02246008,0.026293664,14.03688525,16.48253531,28.7092158,18.5106552,15.8938172,17.13352444,23.06238361,16.80068622,18.5106552,16.80068622,2155.481,164.582,1.157459188,14.0,5.484925721,0.575283642,20.57005,4.491763673,29.00280569,70.99719431,7.675769179,0.076355115,0.408506364,0.434347974,0.0602372628235554,202312,4.85,6.29,4.89,0.43,2.2965465118537147,ATLO,2023,12,176635867.20000002,0.2876111382002375,176636026.91786742,0.2876108781364623,converged,48.24168328855012,0.0
BFIN.OQ,2018-12-31,-0.233394872,-0.215294872,-0.198804097,22.59698044,31.13359775,24.58916278,24.43981763,23.13346995,33.14605027,31.91146191,28.06903545,24.43981763,28.06903545,1585.325,21.049,1.316583672,15.3,5.240916438,0.440561191,28.26105,2.390638813,7.094482525,92.90551747,7.368544713,0.013277404,0.076362338,0.417680036,0.057739768402136,201812,-9.55,-2.33,-1.94,0.19,-3.731131797728508,BFIN,2018,12,145230704.57,0.1813717837703941,145230724.9969086,0.1813717582602191,converged,86.89629236328395,0.0
BFIN.OQ,2019-12-31,-0.030939062,-0.009539062,-0.009378611,21.29806636,25.97546007,10.67069935,16.87122591,22.59698044,31.13359775,24.58916278,24.43981763,16.87122591,24.43981763,1488.015,0.061,1.146068802,16.38,4.026592005,0.370800793,20.99961,1.778313789,0.680227158,99.31977284,7.305198296,4.09942e-05,0.006848859,0.368805325,0.0556709906239658,201912,2.77,0.76,1.73,0.14,1.1592747050485663,BFIN,2019,12,130742648.68,0.2142185144237059,130742648.73919806,0.2142185143267602,converged,100.33062796627044,0.0
AUBN.OQ,2018-12-31,-0.195218165,-0.177118165,-0.174485862,21.58687943,20.74963797,76.49122807,37.82866254,22.15799615,21.31877976,57.62411348,31.31879561,37.82866254,31.31879561,818.077,2.3,1.295433843,17.38,5.200776627,0.404743464,27.20876,2.77389873,1.334097291,98.66590271,6.706956464,0.002811471,0.013521361,0.400798657,0.0578232112412432,201812,-9.55,-2.33,-1.94,0.19,-3.6259986274581726,AUBN,2018,12,86814951.3,0.3468071144117495,86814953.53202525,0.3468071054953575,converged,50.218817484967595,0.0
AUBN.OQ,2019-12-31,-0.128255967,-0.106855967,-0.106177127,20.28455285,30.47859125,63.45113021,37.95978814,21.58687943,20.74963797,76.49122807,37.82866254,37.95978814,37.82866254,827.879,1.069,1.922196506,18.12,4.538365364,0.460326919,27.20876,1.638544643,0.571494702,99.4285053,6.718867008,0.001291251,0.005747795,0.458408985,0.0619354469864348,201912,2.77,0.76,1.73,0.14,1.4070864754655876,AUBN,2019,12,149328773.51,0.3529833500473383,149328774.5474072,0.3529833475951923,converged,53.04113876003478,0.0
AUBN.OQ,2020-12-31,-0.199485028,-0.195085028,-0.191917014,18.99807322,35.02090883,66.37571731,41.26562901,20.28455285,30.47859125,63.45113021,37.95978814,41.26562901,37.95978814,956.597,2.392,1.380611444,18.31,5.664497732,0.80839996,26.40944,0.813445029,1.575568208,98.42443179,6.863382195,0.002500531,0.016007897,0.798987645,0.0853180607098985,202012,4.63,5.01,-1.69,0.01,3.6938567608777766,AUBN,2020,12,120059952.39,0.5510560524160277,120059954.71130627,0.5510560417616859,converged,31.95598858802981,2.2304034990049143e-224
AUBN.OQ,2021-12-31,0.014521907,0.014921907,0.014736373,17.43215031,41.7541321,61.44287227,42.82948354,18.99807322,35.02090883,66.37571731,41.26562901,42.82948354,41.26562901,1105.15,3.448,1.096269648,17.06,1.501436075,0.61824943,19.84393,1.001149314,2.69003625,97.30996375,7.007736351,0.003119938,0.027643996,0.604847024,0.0715221404124151,202112,3.23,-1.62,3.24,0.01,1.9531739637099728,AUBN,2021,12,95623267.74,0.1533624923094457,95623271.08609696,0.1533624869429514,converged,111.86811542239752,0.0
AUBN.OQ,2022-12-31,0.07665854,0.09085854,0.089186834,17.26625006,36.72224572,49.43761639,36.22874146,17.43215031,41.7541321,61.44287227,42.82948354,36.22874146,42.82948354,1023.888,2.551,1.184277068,16.25,6.519271931,0.592065946,19.56899,4.66419427,3.133824088,96.86617591,6.931362425,0.002491483,0.032352099,0.577050447,0.070381308745849,202212,-6.37,-0.76,1.35,0.33,-3.3324351299899932,AUBN,2022,12,70779916.41,0.2302532438846265,70779918.88560712,0.230253235831324,converged,74.44886543946922,0.0
