instrument,date,ritrf,rit,new_wacc,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score,esg_combined_score_1,total_assets,debt__total,price_to_book_value_per_share,capital_adequacy__total_,weighted_average_cost_of_capital_,beta_levered,wacc_tax_rate_,wacc_cost_of_debt_,wacc_debt_weight_,wacc_equity_weight_,lnta,td_ta,d_e,beta_unlevered,WACC_CAPM,yyyymm,mkt_rf,smb,hml,rf,WACC_FF,ticker_prefix,Year,Month,symbol,year,market_cap,fiscal_date_monthly,equity_vol,asset_value,asset_vol,merton_status,distance_to_default,probability_of_default
THFF.OQ,2019-12-31,-0.002871212,0.018528788,0.017586566,20.28455285,17.22040133,31.21405073,19.77837732,21.58687943,16.89093302,32.42616034,20.0513205,19.77837732,20.0513205,4023.25,111092.0,1.119346185,16.16,6.434300826,0.916768102,28.82238,1.60222175,13.22500198,86.77499802,8.299845313,0.027612502,0.152405673,0.827050692,0.0832274946227496,201912,2.77,0.76,1.73,0.14,2.326598848812677,THFF,2019,12,THFF,2019,538256574.7176,2019-12-31,0.19502708411590536,538364383.4528136,0.19498802948318417,converged,-16.961445416534364,1.0
THFF.OQ,2020-12-31,-0.214402518,-0.210002518,-0.170858482,18.99807322,21.90893758,24.40451022,19.65245672,20.28455285,17.22040133,31.21405073,19.77837732,19.65245672,19.77837732,4557.544,121920.0,0.87655121,17.4,4.961059883,0.830947029,25.60363,0.822352179,18.11213294,81.88786706,8.424539161,0.02675125,0.221182131,0.713533962,0.0733055966100563,202012,4.63,5.01,-1.69,0.01,3.159756304114277,THFF,2020,12,THFF,2020,457376810.39699996,2020-12-31,0.2931301635891541,457495127.116451,0.29305435469576024,converged,-11.259077316312169,1.0
THFF.OQ,2021-12-31,0.176654746,0.177054746,0.150118965,18.48795725,29.95919904,19.68128256,22.09706065,18.99807322,21.90893758,24.40451022,19.65245672,22.09706065,19.65245672,5175.099,109311.0,0.975421192,15.63,1.391581898,0.752083661,19.88065,0.729086085,15.73228977,84.26771023,8.551613748,0.021122494,0.186694165,0.654225778,0.0705627551308264,202112,3.23,-1.62,3.24,0.01,2.056402442322978,THFF,2021,12,THFF,2021,568256977.8272879,2021-12-31,0.1747565213256496,568363058.1990063,0.1747239044332063,converged,-17.373711927924308,1.0
THFF.OQ,2022-12-31,0.076173241,0.090373241,0.082675938,20.12867766,32.72654656,22.18386154,24.8477125,18.48795725,29.95919904,19.68128256,22.09706065,24.8477125,22.09706065,4989.281,80464.0,1.163346354,14.61,6.292857487,0.595852534,19.30606,4.443815276,14.11977448,85.88022552,8.51504709,0.016127374,0.164412406,0.526059742,0.0666476279457525,202212,-6.37,-0.76,1.35,0.33,-2.971185275274223,THFF,2022,12,THFF,2022,552930381.133004,2022-12-31,0.14676868430628345,553008467.0624158,0.1467479602671367,converged,-18.816517416112173,1.0
THFF.OQ,2023-12-31,-0.02494283,0.02455717,0.027599542,17.61816778,23.94386529,17.71774834,18.78254635,20.12867766,32.72654656,22.18386154,24.8477125,18.78254635,24.8477125,4851.146,175798.0,0.961293473,15.8,5.445300385,0.53057529,19.24314,4.566800433,24.68880953,75.31119047,8.486970245,0.036238448,0.327823918,0.41951323,0.0596693812386145,202312,4.85,6.29,4.89,0.43,2.2709188145193853,THFF,2023,12,THFF,2023,507539882.72,2023-12-31,0.32496469451594223,507710485.10390747,0.32485549891492516,converged,-11.121517728897864,1.0
MPB.OQ,2018-12-31,-0.168642742,-0.150542742,-0.118132599,21.58687943,32.80012143,52.48167888,35.16226462,22.15799615,5.828762666,38.2830016,16.67294686,35.16226462,16.67294686,2077.981,118206.0,0.865190108,12.3,5.508686355,0.459704372,20.41044,5.459166281,15.81653555,83.03606366,7.639152028,0.056885024,0.190477906,0.399187358,0.0585034164694232,201812,-9.55,-2.33,-1.94,0.19,-3.480789273798754,MPB,2018,12,MPB,2018,524197780.659,2018-12-31,0.214374628750146,524312493.14373946,0.21432772647975432,converged,-18.82164463414366,1.0
MPB.OQ,2019-12-31,0.024887098,0.046287098,0.037835258,22.06022092,40.50927013,52.78785949,39.35192361,21.58687943,32.80012143,52.48167888,35.16226462,39.35192361,35.16226462,2231.175,59973.0,1.022568957,11.9,4.084901407,0.50876969,20.41044,2.492990431,31.95946909,68.04053091,7.710283632,0.026879559,0.469712224,0.370326231,0.0509853015320571,201912,2.77,0.76,1.73,0.14,1.0604878006329923,MPB,2019,12,MPB,2019,658618279.1055,2019-12-31,0.14267585085205717,658676479.6354843,0.14266324404068875,converged,-22.931922871971572,1.0
MPB.OQ,2020-12-31,-0.16799074,-0.16359074,-0.041127239,20.85479836,36.1118091,62.68297594,40.74469707,22.06022092,40.50927013,52.78785949,39.35192361,40.74469707,39.35192361,2998.948,245312.0,0.719617342,12.6,2.684801017,0.619367221,20.11747,1.808404297,68.78552568,31.21447432,8.006016839,0.081799351,2.203641969,0.224381995,0.0328343487301136,202012,4.63,5.01,-1.69,0.01,0.908186386849788,MPB,2020,12,MPB,2020,501857142.633,2020-12-31,0.3438620245511119,502095204.56772673,0.3436989868282074,converged,-12.898885291866982,1.0
MPB.OQ,2021-12-31,0.173842101,0.174242101,0.131669596,22.45895173,42.78834578,69.04017238,46.80134097,20.85479836,36.1118091,62.68297594,40.74469707,46.80134097,40.74469707,4689.425,155544.0,1.03351628,14.6,1.744663569,0.548654296,17.38542,2.349558655,27.49605514,72.50394486,8.453065253,0.033169099,0.379235298,0.417766521,0.0549341028473438,202112,3.23,-1.62,3.24,0.01,1.2974686999259453,MPB,2021,12,MPB,2021,506501524.2,2021-12-31,0.18827220841208353,506652471.1800708,0.18821611646957015,converged,-18.53896146000009,1.0
MPB.OQ,2022-12-31,0.05026302,0.06446302,0.060824782,20.8198309,41.94104807,56.5810578,41.90062197,22.45895173,42.78834578,69.04017238,46.80134097,41.90062197,46.80134097,4497.954,163997.0,0.929718093,13.2,6.103644819,0.542355276,17.38542,4.526452838,13.44114458,86.55885542,8.411377906,0.036460355,0.155283298,0.480689263,0.0638559424292862,202212,-6.37,-0.76,1.35,0.33,-2.699767475059062,MPB,2022,12,MPB,2022,476107705.71,2022-12-31,0.255456429212921,476266855.8661659,0.2553710654507838,converged,-14.09256249308674,1.0
