instrument,date,ritrf,rit,new_wacc,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score,esg_combined_score_1,total_assets,debt__total,price_to_book_value_per_share,capital_adequacy__total_,weighted_average_cost_of_capital_,beta_levered,wacc_tax_rate_,wacc_cost_of_debt_,wacc_debt_weight_,wacc_equity_weight_,lnta,td_ta,d_e,beta_unlevered,WACC_CAPM,yyyymm,mkt_rf_x,smb_x,hml_x,rf_x,WACC_FF,year,beta_mkt,beta_smb,beta_hml,n_obs,beta_merge,mkt_rf,smb,hml,rf,factor_merge,weight_sum,kE_FF
CFFI.OQ,2018-12-31,-0.175791317,-0.157691317,-0.074064052,21.58687943,2.496568291,36.84099489,14.50105603,22.15799615,5.772985033,20.46785633,10.23182885,14.50105603,10.23182885,1521.411,166.691,1.224561139,15.3,6.736134203,0.88804163,0.29331888759999997,0.047614220129999996,0.437062467,0.5629375329999999,7.327393473,0.109563425,0.776396032,0.573424186,0.0665882720023058,201812,-9.55,-2.33,-1.94,0.19,0.023782311914590654,2018,0.0059818036551578,0.0243133648415039,0.0081511731896532,12,both,-0.0682,-0.0323,-0.0962,0.0181,both,1.0,0.016122576445493027
CFFI.OQ,2019-12-31,-0.059399962,-0.037999962,-0.011791365,20.28455285,27.69641406,39.44073013,27.93608422,21.58687943,2.496568291,36.84099489,14.50105603,27.93608422,14.50105603,1657.432,161.17,1.154331434,14.9,4.050324571,0.632837281,0.2644439,0.02380715746,0.47212947169999997,0.5278705283,7.413024696,0.097240792,0.894403924,0.381713788,0.0474877415317867,201912,2.77,0.76,1.73,0.14,0.019250159507361107,2019,0.0025219134917732,0.0085845633128354,0.0074965019801901,12,both,0.28350000000000003,-0.0621,-0.1036,0.021400000000000002,both,1.0,0.02080522348804293
CFFI.OQ,2020-12-31,-0.211728421,-0.207328421,-0.07670384,18.99807322,27.91676901,24.2102084,22.56239245,20.28455285,27.69641406,39.44073013,27.93608422,22.56239245,27.93608422,2086.31,76.169,0.702793375,15.2,3.043001445,0.5838391,0.24885590000000002,0.02080674559,0.5858726748,0.4141273252,7.643152234,0.036508956,1.414716294,0.283052122,0.0385052049612694,202012,4.63,5.01,-1.69,0.01,0.011586630521747417,2020,0.0051661827911425,0.01775986464679,0.0045518885722754,12,both,0.2359,0.13449999999999998,-0.47,0.0044,both,1.0,0.005868016686454333
CFFI.OQ,2021-12-31,0.103601776,0.104001776,0.073919592,17.43215031,19.95600017,24.36711907,18.67033895,18.99807322,27.91676901,24.2102084,22.56239245,18.67033895,22.56239245,2264.521,90.461,0.862964222,15.8,1.574496396,0.528651576,0.23255420000000002,0.01694436543,0.33058110300000004,0.669418897,7.725118537,0.039947079,0.493832942,0.383361424,0.0491536594354794,202112,3.23,-1.62,3.24,0.01,0.005524616067075571,2021,0.0009059495414751,0.0078045097113167,0.0059142857993517,12,both,0.23870000000000002,-0.037200000000000004,0.2545,0.0004,both,1.0,0.0018311081302241328
CFFI.OQ,2022-12-31,0.086830208,0.101030208,0.078934293,15.8938172,19.19959987,13.59962756,14.41886746,17.43215031,19.95600017,24.36711907,18.67033895,14.41886746,18.67033895,2332.317,92.084,1.035516821,15.4,4.89231891,0.269226121,0.23255420000000002,0.0451447018,0.33284952889999997,0.6671504711,7.754617473,0.039481769,0.498912229,0.194683953,0.0441194594621033,202212,-6.37,-0.76,1.35,0.33,0.022572061096129494,2022,-0.0041479692251587,0.0132335527115217,0.0092708946472072,12,both,-0.2132,-0.0702,0.2581,0.014199999999999999,both,1.0,0.016548169546899187
ACNB.OQ,2019-12-31,0.011713917,0.033113917,0.030102608,20.28455285,29.06964104,49.07460469,32.08539965,21.58687943,7.901509952,51.83544304,22.57990843,32.08539965,22.57990843,1720.253,99.731,1.411774934,15.64,2.538262745,0.13409182,0.2544999,0.0167813489,0.1461557933,0.8538442066999999,7.450226652,0.057974612,0.171173842,0.118916829,0.0354583545130869,201912,2.77,0.76,1.73,0.14,0.019666205476363635,2019,0.0030974123234531,0.01484752768184,0.0044885075759887,12,both,0.28350000000000003,-0.0621,-0.1036,0.021400000000000002,both,1.0,0.020891075539784264
ACNB.OQ,2020-12-31,-0.253118872,-0.248718872,-0.190747337,18.99807322,27.05251393,60.67753951,35.26196114,20.28455285,29.06964104,49.07460469,32.08539965,35.26196114,32.08539965,2555.362,92.209,0.843434212,14.91,1.529470514,0.121505256,0.2544999,0.01114744063,0.2255444715,0.7744555285,7.845949176,0.036084516,0.291229726,0.09983081,0.0316950639218735,202012,4.63,5.01,-1.69,0.01,0.00988522574097791,2020,0.0008201617273844,0.0309136694425844,-0.0033882805239086,12,both,0.2359,0.13449999999999998,-0.47,0.0044,both,1.0,0.010343856537754622
ACNB.OQ,2021-12-31,0.212882737,0.213282737,0.181600346,17.43215031,23.75423574,45.29309847,28.08761638,18.99807322,27.05251393,60.67753951,35.26196114,28.08761638,35.26196114,2786.987,69.902,0.99769054,18.71,1.437059699,0.095294081,0.19222909999999999,0.01008905854,0.1544479785,0.8455520215,7.932716363,0.025081567,0.182659345,0.083041556,0.0322655844860371,202112,3.23,-1.62,3.24,0.01,0.003594431970853618,2021,0.0026879475029874,0.0004263479234094,0.006823678926345,12,both,0.23870000000000002,-0.037200000000000004,0.2545,0.0004,both,1.0,0.0027623792129670656
ACNB.OQ,2022-12-31,0.1259217,0.1401217,0.125818583,17.26625006,20.99279741,42.17970205,25.79475059,17.43215031,23.75423574,45.29309847,28.08761638,25.79475059,28.08761638,2525.507,62.954,1.38338296,17.32,5.499492672,0.387979876,0.19222909999999999,0.04684263449000001,0.1398378516,0.8601621484,7.834197114,0.024927272,0.162571501,0.342944255,0.0544568577020451,202212,-6.37,-0.76,1.35,0.33,0.01787423696799856,2022,0.0099492965383985,0.0132961913722241,0.0134957833308578,12,both,-0.2132,-0.0702,0.2581,0.014199999999999999,both,1.0,0.014628679021377705
ACNB.OQ,2023-12-31,0.024148109,0.073648109,0.067974293,15.2370401,19.45467306,33.20644915,21.77666183,17.26625006,20.99279741,42.17970205,25.79475059,21.77666183,25.79475059,2418.847,252.174,1.373067337,17.41,5.748060666,0.584907718,0.19222909999999999,0.048533341290000004,0.1647244182,0.8352755817999999,7.791046259,0.104253804,0.197209666,0.504535153,0.0657152334338095,202312,4.85,6.29,4.89,0.43,0.04847918117016246,2023,0.0078669857043485,0.0072079257706313,0.0046806264905733,12,both,0.2175,-0.034,-0.1405,0.0495,both,1.0,0.05030837189256879
