Total valid regressions: 0
Total insufficient data: 1191
Insufficient data (instrument, year, n_obs):
('FNLC.OQ', 2023, 1)
('FNWB.OQ', 2018, 1)
('FNWB.OQ', 2019, 1)
('FNWB.OQ', 2020, 1)
('FNWB.OQ', 2021, 1)
('FNWB.OQ', 2022, 1)
('FNWB.OQ', 2023, 1)
('FRBA.OQ', 2018, 1)
('FRBA.OQ', 2019, 1)
('FRBA.OQ', 2020, 1)
('FRBA.OQ', 2021, 1)
('FRBKQ.PK', 2017, 1)
('FRBKQ.PK', 2018, 1)
('FRBKQ.PK', 2019, 1)
('FRCB.PK', 2016, 1)
('FRCB.PK', 2017, 1)
('FRCB.PK', 2018, 1)
('FRCB.PK', 2019, 1)
('FRCB.PK', 2020, 1)
('FRME.OQ', 2016, 1)
('FRME.OQ', 2017, 1)
('FRME.OQ', 2018, 1)
('FRME.OQ', 2019, 1)
('FRME.OQ', 2020, 1)
('FRME.OQ', 2021, 1)
('FRME.OQ', 2022, 1)
('FRME.OQ', 2023, 1)
('FRST.OQ', 2017, 1)
('FRST.OQ', 2018, 1)
('FRST.OQ', 2019, 1)
('FRST.OQ', 2020, 1)
('FRST.OQ', 2021, 1)
('FRST.OQ', 2022, 1)
('FRST.OQ', 2023, 1)
('FSBW.OQ', 2018, 1)
('FSBW.OQ', 2019, 1)
('FSBW.OQ', 2022, 1)
('FSBW.OQ', 2023, 1)
('FULT.OQ', 2016, 1)
('FULT.OQ', 2017, 1)
('FULT.OQ', 2018, 1)
('FULT.OQ', 2019, 1)
('FULT.OQ', 2020, 1)
('FULT.OQ', 2021, 1)
('FULT.OQ', 2022, 1)
('FULT.OQ', 2023, 1)
('FUNC.OQ', 2018, 1)
('FUNC.OQ', 2019, 1)
('FUNC.OQ', 2020, 1)
('FUNC.OQ', 2021, 1)
('FUNC.OQ', 2022, 1)
('FUNC.OQ', 2023, 1)
('GABC.OQ', 2017, 1)
('GABC.OQ', 2018, 1)
('GABC.OQ', 2019, 1)
('GABC.OQ', 2020, 1)
('GABC.OQ', 2021, 1)
('GABC.OQ', 2022, 1)
('GABC.OQ', 2023, 1)
('GBCI.N', 2016, 1)
('GBCI.N', 2017, 1)
('GBCI.N', 2018, 1)
('GBCI.N', 2019, 1)
('GBCI.N', 2020, 1)
('GBCI.N', 2021, 1)
('GBCI.N', 2022, 1)
('GSBC.OQ', 2017, 1)
('GSBC.OQ', 2018, 1)
('GSBC.OQ', 2019, 1)
('GSBC.OQ', 2020, 1)
('GSBC.OQ', 2021, 1)
('GSBC.OQ', 2022, 1)
('GSBC.OQ', 2023, 1)
('HAFC.OQ', 2017, 1)
('HAFC.OQ', 2018, 1)
('HAFC.OQ', 2019, 1)
('HAFC.OQ', 2020, 1)
('HBAN.OQ', 2016, 1)
('HBAN.OQ', 2017, 1)
('HBAN.OQ', 2018, 1)
('HBAN.OQ', 2019, 1)
('HBAN.OQ', 2020, 1)
('HBAN.OQ', 2021, 1)
('HBAN.OQ', 2022, 1)
('HBCP.OQ', 2018, 1)
('HBCP.OQ', 2019, 1)
('HBCP.OQ', 2020, 1)
('HBCP.OQ', 2021, 1)
('HBCP.OQ', 2022, 1)
('HBCP.OQ', 2023, 1)
('HBNC.OQ', 2017, 1)
('HBNC.OQ', 2018, 1)
('HBNC.OQ', 2019, 1)
('HBNC.OQ', 2020, 1)
('HBNC.OQ', 2021, 1)
('HBNC.OQ', 2022, 1)
('HBNC.OQ', 2023, 1)
('HFWA.OQ', 2017, 1)
('HFWA.OQ', 2018, 1)
('HFWA.OQ', 2019, 1)
('HFWA.OQ', 2020, 1)
('HFWA.OQ', 2021, 1)
('HFWA.OQ', 2022, 1)
('HFWA.OQ', 2023, 1)
('HIFS.OQ', 2017, 1)
('HIFS.OQ', 2018, 1)
('HIFS.OQ', 2019, 1)
('HIFS.OQ', 2020, 1)
('HIFS.OQ', 2021, 1)
('HIFS.OQ', 2022, 1)
('HIFS.OQ', 2023, 1)
('HMST.OQ', 2017, 1)
('HMST.OQ', 2018, 1)
('HMST.OQ', 2019, 1)
('HMST.OQ', 2020, 1)
('HOMB.N', 2016, 1)
('HOMB.N', 2017, 1)
('HOMB.N', 2018, 1)
('HOMB.N', 2019, 1)
('HOMB.N', 2020, 1)
('HOMB.N', 2021, 1)
('HOMB.N', 2022, 1)
('HOMB.N', 2023, 1)
('HOPE.OQ', 2017, 1)
('HOPE.OQ', 2018, 1)
('HOPE.OQ', 2019, 1)
('HOPE.OQ', 2020, 1)
('HOPE.OQ', 2021, 1)
('HOPE.OQ', 2022, 1)
('HOPE.OQ', 2023, 1)
('HTBK.OQ', 2018, 1)
('HTBK.OQ', 2019, 1)
('HTBK.OQ', 2020, 1)
('HTBK.OQ', 2021, 1)
('HTBK.OQ', 2022, 1)
('HTH.N', 2016, 1)
('HTH.N', 2017, 1)
('HTH.N', 2018, 1)
('HTH.N', 2019, 1)
('HTH.N', 2020, 1)
('HTH.N', 2021, 1)
('HTH.N', 2022, 1)
('HTH.N', 2023, 1)
('HWBK.OQ', 2018, 1)
('HWBK.OQ', 2019, 1)
('HWBK.OQ', 2020, 1)
('HWBK.OQ', 2021, 1)
('HWBK.OQ', 2022, 1)
('HWC.OQ', 2016, 1)
('HWC.OQ', 2017, 1)
('HWC.OQ', 2018, 1)
('HWC.OQ', 2019, 1)
('HWC.OQ', 2020, 1)
('HWC.OQ', 2021, 1)
('HWC.OQ', 2022, 1)
('HWC.OQ', 2023, 1)
('IBCP.OQ', 2019, 1)
('IBCP.OQ', 2020, 1)
('IBCP.OQ', 2021, 1)
('IBCP.OQ', 2022, 1)
('IBCP.OQ', 2023, 1)
('IBOC.OQ', 2016, 1)
('IBOC.OQ', 2017, 1)
('IBOC.OQ', 2018, 1)
('IBOC.OQ', 2019, 1)
('IBOC.OQ', 2020, 1)
('IBOC.OQ', 2021, 1)
('IBOC.OQ', 2022, 1)
('IBOC.OQ', 2023, 1)
('INBK.OQ', 2018, 1)
('INBK.OQ', 2019, 1)
('INBK.OQ', 2020, 1)
('INBK.OQ', 2021, 1)
('INBK.OQ', 2022, 1)
('INDB.OQ', 2016, 1)
('INDB.OQ', 2017, 1)
('INDB.OQ', 2018, 1)
('INDB.OQ', 2019, 1)
('INDB.OQ', 2020, 1)
('INDB.OQ', 2021, 1)
('INDB.OQ', 2022, 1)
('INDB.OQ', 2023, 1)
('ISTR.OQ', 2018, 1)
('ISTR.OQ', 2019, 1)
('ISTR.OQ', 2020, 1)
('ISTR.OQ', 2021, 1)
('ISTR.OQ', 2022, 1)
('JPM.N', 2016, 1)
('JPM.N', 2017, 1)
('JPM.N', 2018, 1)
('JPM.N', 2019, 1)
('JPM.N', 2020, 1)
('JPM.N', 2021, 1)
('JPM.N', 2022, 1)
('JPM.N', 2023, 1)
('KEY.N', 2016, 1)
('KEY.N', 2017, 1)
('KEY.N', 2018, 1)
('KEY.N', 2019, 1)
('KEY.N', 2020, 1)
('KEY.N', 2021, 1)
('KEY.N', 2022, 1)
('KEY.N', 2023, 1)
('LARK.OQ', 2018, 1)
('LARK.OQ', 2019, 1)
('LARK.OQ', 2020, 1)
('LARK.OQ', 2021, 1)
('LARK.OQ', 2022, 1)
('LARK.OQ', 2023, 1)
('LCNB.OQ', 2018, 1)
('LCNB.OQ', 2019, 1)
('LCNB.OQ', 2020, 1)
('LCNB.OQ', 2021, 1)
('LCNB.OQ', 2022, 1)
('LKFN.OQ', 2017, 1)
('LKFN.OQ', 2018, 1)
('LKFN.OQ', 2019, 1)
('LKFN.OQ', 2020, 1)
('LKFN.OQ', 2021, 1)
('LKFN.OQ', 2022, 1)
('LKFN.OQ', 2023, 1)
('MBWM.OQ', 2017, 1)
('MBWM.OQ', 2018, 1)
('MBWM.OQ', 2019, 1)
('MBWM.OQ', 2020, 1)
('MBWM.OQ', 2021, 1)
('MBWM.OQ', 2022, 1)
('MBWM.OQ', 2023, 1)
('MFIN.OQ', 2018, 1)
('MFIN.OQ', 2019, 1)
('MFIN.OQ', 2020, 1)
('MFIN.OQ', 2021, 1)
('MFIN.OQ', 2022, 1)
('MFIN.OQ', 2023, 1)
('MOFG.OQ', 2017, 1)
('MOFG.OQ', 2018, 1)
('MOFG.OQ', 2019, 1)
('MOFG.OQ', 2020, 1)
('MOFG.OQ', 2021, 1)
('MOFG.OQ', 2022, 1)
('MPB.OQ', 2018, 1)
('MPB.OQ', 2019, 1)
('MPB.OQ', 2020, 1)
('MPB.OQ', 2021, 1)
('MPB.OQ', 2022, 1)
('MPB.OQ', 2023, 1)
('MTB.N', 2016, 1)
('MTB.N', 2017, 1)
('MTB.N', 2018, 1)
('MTB.N', 2019, 1)
('MTB.N', 2020, 1)
('MTB.N', 2021, 1)
('MTB.N', 2022, 1)
('NBHC.N', 2017, 1)
('NBHC.N', 2018, 1)
('NBHC.N', 2019, 1)
('NBHC.N', 2020, 1)
('NBHC.N', 2021, 1)
('NBHC.N', 2022, 1)
('NBHC.N', 2023, 1)
('NBTB.OQ', 2016, 1)
('NBTB.OQ', 2017, 1)
('NBTB.OQ', 2018, 1)
('NBTB.OQ', 2019, 1)
('NBTB.OQ', 2020, 1)
('NBTB.OQ', 2021, 1)
('NBTB.OQ', 2022, 1)
('NBTB.OQ', 2023, 1)
('NFBK.OQ', 2016, 1)
('NFBK.OQ', 2017, 1)
('NFBK.OQ', 2018, 1)
('NFBK.OQ', 2019, 1)
('NKSH.OQ', 2019, 1)
('NKSH.OQ', 2020, 1)
('NKSH.OQ', 2021, 1)
('NKSH.OQ', 2022, 1)
('NRIM.OQ', 2018, 1)
('NRIM.OQ', 2019, 1)
('NRIM.OQ', 2020, 1)
('NRIM.OQ', 2021, 1)
('NRIM.OQ', 2022, 1)
('NRIM.OQ', 2023, 1)
('NWBI.OQ', 2016, 1)
('NWBI.OQ', 2017, 1)
('NWBI.OQ', 2018, 1)
('NWBI.OQ', 2019, 1)
('NWBI.OQ', 2020, 1)
('NWBI.OQ', 2021, 1)
('NWBI.OQ', 2022, 1)
('NWFL.OQ', 2018, 1)
('NWFL.OQ', 2019, 1)
('NWFL.OQ', 2020, 1)
('NWFL.OQ', 2021, 1)
('NWFL.OQ', 2022, 1)
('NWFL.OQ', 2023, 1)
('OCFC.OQ', 2017, 1)
('OCFC.OQ', 2018, 1)
('OCFC.OQ', 2019, 1)
('OCFC.OQ', 2020, 1)
('OCFC.OQ', 2021, 1)
('OCFC.OQ', 2022, 1)
('OCFC.OQ', 2023, 1)
('ONB.OQ', 2016, 1)
('ONB.OQ', 2017, 1)
('ONB.OQ', 2018, 1)
('ONB.OQ', 2019, 1)
('ONB.OQ', 2020, 1)
('ONB.OQ', 2021, 1)
('ONB.OQ', 2022, 1)
('ONB.OQ', 2023, 1)
('OPOF.OQ', 2018, 1)
('OPOF.OQ', 2019, 1)
('OPOF.OQ', 2020, 1)
('OPOF.OQ', 2021, 1)
('OPOF.OQ', 2022, 1)
('OPOF.OQ', 2023, 1)
('ORRF.OQ', 2018, 1)
('ORRF.OQ', 2019, 1)
('ORRF.OQ', 2020, 1)
('ORRF.OQ', 2021, 1)
